Dataset,Accuracy,F1
ACSF1,0.802,0.696
Adiac,0.479,0.344
AllGestureWiimoteX,0.535,0.287
AllGestureWiimoteY,0.488,0.224
AllGestureWiimoteZ,0.483,0.255
ArrowHead,0.536,0.427
Beef,0.762,0.727
BeetleFly,0.875,0.783
BirdChicken,0.713,0.630
BME,0.671,0.530
Car,0.494,0.491
CBF,0.726,0.649
Chinatown,0.878,0.724
ChlorineConcentration,0.507,0.431
CinCECGTorso,0.521,0.440
Coffee,0.488,0.118
Computers,0.702,0.452
CricketX,0.616,0.511
CricketY,0.574,0.452
CricketZ,0.636,0.502
Crop,0.643,0.372
DiatomSizeReduction,0.737,0.656
DistalPhalanxOutlineAgeGroup,0.644,0.496
DistalPhalanxOutlineCorrect,0.773,0.789
DistalPhalanxTW,0.626,0.449
DodgerLoopDay,0.381,0.265
DodgerLoopGame,0.703,0.458
DodgerLoopWeekend,0.905,0.222
Earthquakes,0.606,0.462
ECG200,0.846,0.866
ECG5000,0.907,0.754
ECGFiveDays,0.742,0.685
ElectricDevices,0.655,0.483
EOGHorizontalSignal,0.420,0.275
EOGVerticalSignal,0.415,0.307
EthanolLevel,0.408,0.355
FaceAll,0.738,0.576
FaceFour,0.580,0.481
FacesUCR,0.656,0.523
FiftyWords,0.533,0.368
Fish,0.674,0.587
FordA,0.925,0.903
FordB,0.789,0.761
FreezerRegularTrain,0.941,0.502
FreezerSmallTrain,0.761,0.500
Fungi,0.249,0.161
GestureMidAirD1,0.442,0.337
GestureMidAirD2,0.466,0.334
GestureMidAirD3,0.272,0.177
GesturePebbleZ1,0.720,0.657
GesturePebbleZ2,0.773,0.721
GunPoint,0.731,0.679
GunPointAgeSpan,0.900,0.444
GunPointMaleVersusFemale,0.983,0.441
GunPointOldVersusYoung,0.949,0.521
Ham,0.600,0.525
HandOutlines,0.890,0.897
Haptics,0.367,0.282
Herring,0.575,0.551
HouseTwenty,0.879,0.305
InlineSkate,0.277,0.199
InsectEPGRegularTrain,0.805,0.582
InsectEPGSmallTrain,0.559,0.415
InsectWingbeatSound,0.495,0.378
ItalyPowerDemand,0.906,0.886
LargeKitchenAppliances,0.766,0.488
Lightning2,0.664,0.743
Lightning7,0.516,0.349
Mallat,0.430,0.317
Meat,0.694,0.545
MedicalImages,0.561,0.400
MelbournePedestrian,0.885,0.674
MiddlePhalanxOutlineAgeGroup,0.518,0.347
MiddlePhalanxOutlineCorrect,0.753,0.766
MiddlePhalanxTW,0.523,0.359
MixedShapesRegularTrain,0.891,0.691
MixedShapesSmallTrain,0.735,0.490
MoteStrain,0.706,0.633
NonInvasiveFetalECGThorax1,0.725,0.599
NonInvasiveFetalECGThorax2,0.777,0.662
OliveOil,0.448,0.311
OSULeaf,0.651,0.564
PhalangesOutlinesCorrect,0.747,0.739
Phoneme,0.182,0.71
PickupGestureWiimoteZ,0.468,0.343
PigAirwayPressure,0.79,0.50
PigArtPressure,0.334,0.214
PigCVP,0.276,0.174
PLAID,0.376,0.222
Plane,0.903,0.858
PowerCons,0.820,0.623
ProximalPhalanxOutlineAgeGroup,0.805,0.675
ProximalPhalanxOutlineCorrect,0.788,0.792
ProximalPhalanxTW,0.729,0.565
RefrigerationDevices,0.544,0.327
Rock,0.550,0.415
ScreenType,0.434,0.327
SemgHandGenderCh2,0.802,0.328
SemgHandMovementCh2,0.448,0.224
SemgHandSubjectCh2,0.739,0.469
ShakeGestureWiimoteZ,0.539,0.444
ShapeletSim,0.791,0.503
ShapesAll,0.617,0.442
SmallKitchenAppliances,0.643,0.389
SmoothSubspace,0.816,0.621
SonyAIBORobotSurface1,0.710,0.561
SonyAIBORobotSurface2,0.701,0.731
StarLightCurves,0.956,0.928
Strawberry,0.922,0.821
SwedishLeaf,0.810,0.696
Symbols,0.618,0.505
SyntheticControl,0.962,0.877
ToeSegmentation1,0.831,0.490
ToeSegmentation2,0.825,0.203
Trace,0.950,0.918
TwoLeadECG,0.658,0.632
TwoPatterns,0.997,0.996
UMD,0.695,0.430
UWaveGestureLibraryAll,0.878,0.821
UWaveGestureLibraryX,0.733,0.644
UWaveGestureLibraryY,0.641,0.536
UWaveGestureLibraryZ,0.686,0.588
Wafer,0.959,0.975
Wine,0.688,0.444
WordSynonyms,0.498,0.328
Worms,0.636,0.507
WormsTwoClass,0.692,0.491
Yoga,0.714,0.704